time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
5.929,-0.32,-0.03,0.94,-0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00
5.93,-0.32,-0.03,0.94,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00
6.047,-0.32,-0.03,0.94,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00
6.05,-0.32,-0.03,0.94,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00
6.051,-0.32,-0.03,0.94,-0.01,0.00,0.01,0.00,-0.00,0.00,0.00
6.109,-0.32,-0.03,0.94,-0.01,0.00,0.01,0.00,-0.00,0.00,0.00
6.111,-0.32,-0.03,0.94,-0.01,0.00,0.01,0.00,0.00,-0.00,0.00
6.111,-0.32,-0.03,0.94,0.00,-0.01,0.01,0.00,0.00,-0.00,0.00
6.167,-0.32,-0.03,0.94,0.00,-0.01,0.01,0.00,0.00,-0.00,0.00
6.169,-0.32,-0.03,0.94,0.00,-0.01,0.01,0.00,-0.00,-0.00,0.00
6.169,-0.32,-0.03,0.94,-0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00
6.227,-0.32,-0.03,0.94,-0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00
